Titel,Geschäftsart,ID,Datum,Erstunterzeichner,Partei Erstunterzeichner,Mitunterzeichner,Partei Mitunterzeichner,Geschäftsstatus,Entscheid,_entscheidbereinigt
"Erwerb des Koch-Areals von der UBS, Hintergründe zu den Verhandlungen und Auflagen für einen Gestaltungsplan sowie zur Zonierung im Entwurf zur BZO-Revision",Schriftliche Anfrage,958c7265ad524eb7ae344dc6c2416ca7,2014-01-08T00:00:00.000,Severin Pflüger,FDP,Albert Leiser,FDP,Abgeschlossen,,
"Gleichstellungsplan 2009–2013, Berücksichtigung des Themas «Kinderschutz» sowie Hintergründe und Massnahmen zu den Schwerpunkten «Häusliche Gewalt» und «Migrantinnen»",Schriftliche Anfrage,3735062357634ac88f3699204b00e932,2014-01-15T00:00:00.000,Claudia Simon,FDP,Severin Pflüger,FDP,Abgeschlossen,,
"Restaurant Belvoir-Park, Verzicht auf den Bau der unterirdischen Anlieferung",Postulat,96fe23887b7545299ff0562836335eef,2014-01-22T00:00:00.000,Michael Baumer,FDP,,,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Einquartierung von Flüchtlingen an der Sonnenbergstrasse 19 und am Jupitersteig 6 und 8, Information der Anwohnerschaft sowie Kriterien für die Zuteilung auf die Stadtquartiere",Schriftliche Anfrage,32b22c754cf143a0804210f123845a6a,2014-01-22T00:00:00.000,Marc Bourgeois,FDP,Severin Pflüger,FDP,Abgeschlossen,,
"Teilrevision der Bau- und Zonenordnung (BZO), Folgen der negativen Vorwirkung für die eingereichten Baugesuche",Schriftliche Anfrage,e67c768f1c224330b68b363599ccb9be,2014-02-05T00:00:00.000,Marco Denoth,SP,Heinz F. Steger,FDP,Abgeschlossen,,
"Neuausrichtung des Strauhofs, Abklärungen bezüglich einer Weiterführung des bisherigen Konzepts sowie einer möglichen Überführung der Archive in die Bärengasse",Schriftliche Anfrage,76de5e7837a543188230f7256875e175,2014-03-12T00:00:00.000,Claudia Simon,FDP,Severin Pflüger,FDP,Abgeschlossen,,
"Vergabepraxis günstiger Wohnungen durch die Stadt, Kriterien für die Vergabe sowie Möglichkeiten für einen Wechsel von der Objekt- zur Subjekthilfe",Schriftliche Anfrage,f87e14210ae1446db6773537291748aa,2014-03-12T00:00:00.000,Albert Leiser,FDP,Markus Hungerbühler,CVP,Abgeschlossen,,
Einführung einer Jugendinitiative als Instrument für die Mitwirkung von Jugendlichen am politischen Prozess,Postulat,4940b23f724d4d6cb4a21aed8f043f63,2014-03-19T00:00:00.000,Isabel Garcia,FDP,Matthias Wiesmann,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Sechseläutenplatz, Nutzung für politische Veranstaltungen",Schriftliche Anfrage,ceb42fa107044b5d8d26143420d8daeb,2014-03-26T00:00:00.000,Urs Egger,FDP,,,Abgeschlossen,,
"Energieplanungsbericht des Kantons Zürich, Folgen für die energie- und klimaschutzpolitischen Absichten der Stadt",Schriftliche Anfrage,f3f9395c83d84f62ade89d5fb5a4895e,2014-04-16T00:00:00.000,Helen Glaser,SP,Alexander Jäger,FDP,Abgeschlossen,,
