Titel,Geschäftsart,ID,Datum,Erstunterzeichner,Partei Erstunterzeichner,Mitunterzeichner,Partei Mitunterzeichner,Geschäftsstatus,Entscheid,_entscheidbereinigt
"Juliastrasse, Einrichtung einer Begegnungszone oder einer autofreien Strasse",Postulat,1ae08ec9dfc0465ba1c5491de2584218,2014-02-05T00:00:00.000,Jean-Daniel Strub,SP,Martin Luchsinger,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Kommunale Wohnüberbauung auf dem Tramdepot Hard, Realisierung der Wohnungen nach dem Prinzip der Kostenmiete und ohne Abschreibungsbeiträge",Postulat,a5573cb80d054660a8565a27eab1a841,2014-02-26T00:00:00.000,Martin Luchsinger,GLP,Jean-Claude Virchaux,CVP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Durchgehende Veloverbindung aus dem Lettenquartier durch die Rousseaustrasse bis zur Nordbrücke,Postulat,94f2be0b2acd4eab8e6d7c743304b799,2014-03-05T00:00:00.000,Simone Brander,SP,Guido Trevisan,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Studie zur Wirkung der Mobilitätskampagne des Tiefbau- und Entsorgungsdepartements in den Quartieren Alt-Wiedikon und Friesenberg, Umfang, Kriterien und Kosten",Schriftliche Anfrage,ef16480862ec4387991f9b736a9378ba,2014-03-12T00:00:00.000,Samuel Dubno,GLP,Walter Angst,AL,Abgeschlossen,,
Einführung einer Jugendinitiative als Instrument für die Mitwirkung von Jugendlichen am politischen Prozess,Postulat,4940b23f724d4d6cb4a21aed8f043f63,2014-03-19T00:00:00.000,Isabel Garcia,FDP,Matthias Wiesmann,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Anpassung der Datenschutzverordnung, Streichung des Einsatzes von Videoüberwachung bei Schulgebäuden und Schulanlagen",Motion,dc9c3c794faf4fc2bbe95377f4a88d98,2014-04-02T00:00:00.000,Samuel Dubno,GLP,Ann-Catherine Nabholz,GLP,Abgeschlossen,Umwandlung in Postulat,Ablehnung
Reduktion der Anzahl Videokameras zur Vandalismusprävention an Schulgebäuden,Postulat,925a24cf6b96447788347ec150ec6acb,2014-04-02T00:00:00.000,Ann-Catherine Nabholz,GLP,Samuel Dubno,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Holzschlag im Stöckentobel, Hintergründe zur geplanten Helikopter-Unterstützung",Schriftliche Anfrage,6fd2772bdf514acd9f81828525388f2b,2014-04-02T00:00:00.000,Ann-Catherine Nabholz,GLP,Guido Trevisan,GLP,Abgeschlossen,,
Überprüfung und allfällige Anpassung der Rechtsgrundlage für die durch die «sip züri» wahrgenommenen Sicherheits- und Begleitungsaufgaben,Postulat,c9178751aeda40548c080356c30f3c20,2014-04-09T00:00:00.000,Guido Hüni,GLP,Maleica Landolt,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Teilrevision der Bau- und Zonenordnung (BZO), Auswirkungen auf die entwickelten Quartierpläne und die betroffenen Grundstückeigentümer",Schriftliche Anfrage,f8f77939940040cca65ba1859cdddbc1,2014-04-16T00:00:00.000,Guido Trevisan,GLP,Gian von Planta,GLP,Abgeschlossen,,
Vereinfachung der von der städtischen Krippenaufsicht angewendeten Richtlinien für die Bewilligung von vorschulischen Kindertagesstätten,Postulat,e4d6bfe5ac3f477d874fb8c65662aabe,2014-06-04T00:00:00.000,Ursula Uttinger,FDP,Markus Baumann,GLP,Abgeschlossen,Ablehnung,Ablehnung
Errichtung einer Kapphaltestelle am Stauffacher für die in Richtung Hardplatz fahrenden Trams der Linie 8,Postulat,4a94d65a8c9b4fe2ac8bf2429fc3770e,2014-06-11T00:00:00.000,Peter Küng,SP,Gian von Planta,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Pilotprojekt «Züri wie neu», Erfahrungen mit dem Projekt und mögliche Weiterführung des Angebots",Schriftliche Anfrage,e96a746c29ba4959b3bbb8ecf4c2352e,2014-06-11T00:00:00.000,Samuel Dubno,GLP,Isabel Garcia,FDP,Abgeschlossen,,
"Aufnahme von Schulhäusern in die Inventarliste für schützenswerte Gebäude, Folgen bezüglich der Standards, Termine und Kosten im Hinblick auf die Sanierungen",Schriftliche Anfrage,e43316ab696743c2a6fa413c357810eb,2014-06-11T00:00:00.000,Isabel Garcia,FDP,Gian von Planta,GLP,Abgeschlossen,,
