Titel,Geschäftsart,ID,Datum,Erstunterzeichner,Partei Erstunterzeichner,Mitunterzeichner,Partei Mitunterzeichner,Geschäftsstatus,Entscheid,_entscheidbereinigt
Stellenwert und Bedeutung der Quartierzeitungen für die Medienvielfalt und die Identitätsstiftung der Quartiere sowie Kriterien für die Berücksichtigung bei den städtischen Publikationen,Schriftliche Anfrage,59510f153e2843a7a18ba5559fb148c2,2014-01-08T00:00:00.000,Michael Kraft,SP,,,Abgeschlossen,,
"Umsetzung der Bewilligungspflicht des «Hooligan-Konkordats», Sicherheitsauflagen und Kriterien im Zusammenhang mit einem Testspiel des FC Zürich",Schriftliche Anfrage,10fcdfe3849243868504a94906c451a2,2014-01-15T00:00:00.000,Matthias Probst,Grüne,Florian Utz,SP,Abgeschlossen,,
"Verstösse der Vertragspartnerin für die Strassen- und Parkreinigung gegen den Verhaltenskodex der Stadt, Hintergründe und mögliche Massnahmen",Schriftliche Anfrage,bdfe511a27a241ebabe4a7dc69d4d8f4,2014-01-22T00:00:00.000,Walter Angst,AL,Kyriakos Papageorgiou,SP,Abgeschlossen,,
"Parkanlage Platzspitz, durchgehende Öffnung des Parks",Postulat,ad634817495f4993bc91ca11a025a609,2014-01-22T00:00:00.000,Linda Bär,SP,Michael Kraft,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Personen mit unterschiedlicher Wohnsitz- und Steuerpflicht, Ausmass und geltende Regelungen",Schriftliche Anfrage,dd5d3bf44263494aab83686a4bd58e7b,2014-01-29T00:00:00.000,Gabriela Rothenfluh,SP,Pawel Silberring,SP,Abgeschlossen,,
"Juliastrasse, Einrichtung einer Begegnungszone oder einer autofreien Strasse",Postulat,1ae08ec9dfc0465ba1c5491de2584218,2014-02-05T00:00:00.000,Jean-Daniel Strub,SP,Martin Luchsinger,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Teilrevision der Bau- und Zonenordnung (BZO), Folgen der negativen Vorwirkung für die eingereichten Baugesuche",Schriftliche Anfrage,e67c768f1c224330b68b363599ccb9be,2014-02-05T00:00:00.000,Marco Denoth,SP,Heinz F. Steger,FDP,Abgeschlossen,,
"Gewinnsteuerpflicht der beiden Grossbanken UBS und CS, Ausmass und Auswirkungen der Verlustvorträge aus dem Jahr 2008",Schriftliche Anfrage,2b5a83e99e154f3abe53cda245c7e8a0,2014-02-05T00:00:00.000,Min Li Marti,SP,Florian Utz,SP,Abgeschlossen,,
Eigener Termin für die Erneuerungswahlen des Stadt- und Gemeinderats,Postulat,b78c8d83f08b438ca62f7d62f6aafb2d,2014-02-26T00:00:00.000,Peter Küng,SP,Jean-Daniel Strub,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Durchgehende Veloverbindung aus dem Lettenquartier durch die Rousseaustrasse bis zur Nordbrücke,Postulat,94f2be0b2acd4eab8e6d7c743304b799,2014-03-05T00:00:00.000,Simone Brander,SP,Guido Trevisan,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Revision des Art. 16 der Ausführungsbestimmungen zum städtischen Personalrecht (AB PR) betreffend der städtischen Personalvermittlung als Folge von Reorganisationen und aus gesundheitlichen Gründen,Postulat,148ad2aca4b94e7d8530b6056a95aa23,2014-03-12T00:00:00.000,Duri Beer,SP,Peider Filli,Grüne,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Bahnhof Tiefenbrunnen, Verbesserung der Umgebung, der Zugänglichkeit, der Aufenthaltsqualität sowie des Quartiernutzens",Postulat,d8ac0cae80f8429e89500eff9f4d99b2,2014-03-26T00:00:00.000,Eva-Maria Würth,SP,Karin Weyermann,Die Mitte,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Ersatzneubau der Turnhalle auf dem Gelände des Schulhauses Hofacker, Erhalt der Grösse des nutzbaren Aussenraums",Postulat,8cccb09a4f5646d2b819211c0c9d6aea,2014-04-02T00:00:00.000,Christina Hug,Grüne,Jean-Daniel Strub,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Städtische Liegenschaft am Stauffacherquai 3, Hintergründe zur Neunutzung als Boutique-Hotel",Schriftliche Anfrage,9019a23d3f0c4ae58004c5c9a7ca3f61,2014-04-02T00:00:00.000,Patrick Hadi Huber,SP,Katrin Wüthrich,SP,Abgeschlossen,,
"Schaffung von Zonen mit Anordnungen zur Nutzung erneuerbarer Energien im Rahmen des kantonalen Planungs- und Baugesetzes (PBG), Anwendung der neuen Option in der Stadt",Schriftliche Anfrage,456ec36e4e884bf4b5f92d52c3c2e73a,2014-04-02T00:00:00.000,Matthias Probst,Grüne,Andreas Edelmann,SP,Abgeschlossen,,
Markierung eines Fussgängerstreifens auf der Albisriederstrasse auf der Höhe Lyrenweg/Im Kratz,Postulat,f7e12a00e98547fd88f545abaf950f8a,2014-04-09T00:00:00.000,Pascal Lamprecht,SP,Alan David Sangines,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Kennzeichnung des FKK-Bereichs auf der Werdinsel,Postulat,8642a80968e14e3689f550b84f2fd7fe,2014-04-16T00:00:00.000,Alan David Sangines,SP,Gabriela Rothenfluh,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Areal des GZ Leimbach, Einrichtung einer öffentlichen Kinderkrippe",Postulat,ad1559274c8a488bbdd8482f440277c3,2014-04-16T00:00:00.000,Pawel Silberring,SP,Christian Traber,Die Mitte,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Energieplanungsbericht des Kantons Zürich, Folgen für die energie- und klimaschutzpolitischen Absichten der Stadt",Schriftliche Anfrage,f3f9395c83d84f62ade89d5fb5a4895e,2014-04-16T00:00:00.000,Helen Glaser,SP,Alexander Jäger,FDP,Abgeschlossen,,
"Geschäftsordnung des Gemeinderats (GeschO GR), Eröffnung der konstituierenden Ratssitzung des Gemeinderats durch das amtsälteste und das jüngste
anwesende Mitglied",Beschlussantrag,7a21264cf51440c08c2684856cdf01c5,2014-05-14T00:00:00.000,Linda Bär,SP,Marcel Savarioud,SP,Abgeschlossen,,
"Binz-Quartier, bessere Erschliessung für den Fuss- und Veloverkehr",Postulat,7daa0d8385344b4b9a9dc5ef06246bc9,2014-05-14T00:00:00.000,Andreas Edelmann,SP,Rebekka Wyler,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Rettungsfahrzeuge von Schutz und Rettung sowie Einsatzfahrzeuge der Stadtpolizei, Ausrüstung mit einem Verkehrspriorisierungssystem",Postulat,5766456cbc324a33875caaf9b08dbd93,2014-05-21T00:00:00.000,Marcel Bührig,Grüne,Simone Brander,SP,Abgeschlossen,Rückzug,Rückzug
Erhöhung der Anzahl von Kontingentflüchtlingen aus Syrien sowie Lockerung der Einreisebestimmungen,Postulat,7fa0b4f827b84a92a4a746b13dc1efa7,2014-06-11T00:00:00.000,Alan David Sangines,SP,Matthias Probst,Grüne,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Errichtung einer Kapphaltestelle am Stauffacher für die in Richtung Hardplatz fahrenden Trams der Linie 8,Postulat,4a94d65a8c9b4fe2ac8bf2429fc3770e,2014-06-11T00:00:00.000,Peter Küng,SP,Gian von Planta,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Provisorisches Polizeigefängnis (PROPOG) auf dem Kasernenareal, Hintergründe zur mehrmals verlängerten Baubewilligung",Schriftliche Anfrage,d2f3b95dcc8047b6acc17807c2b701c3,2014-06-18T00:00:00.000,Patrick Hadi Huber,SP,Peter Küng,SP,Abgeschlossen,,
"Beistandschaft bei Frauenpaaren in eingetragener Partnerschaft, welche ein Kind zur Welt bringen, bisherige Erfahrungen und Anpassung der Praxis an die neue Sorgerechtsregelung",Schriftliche Anfrage,0d4a504939b44217b26b52f5b6d89f33,2014-06-18T00:00:00.000,Simone Brander,SP,,,Abgeschlossen,,
Erweiterung der Gültigkeit der Jahres-Gewerbeparkkarte,Postulat,699683e7fa9d481cb91fcb4790007640,2014-06-18T00:00:00.000,Pawel Silberring,SP,Heinz F. Steger,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Areal an der Ecke Baumgartner-, Zweier- und Freyastrasse, Vorlage für eine kommunale Wohnüberbauung oder eine Überbauung durch eine gemeinnützige Wohnbaugenossenschaft",Postulat,c8d8ff74aff34a208e8a72bfa65f3aaa,2014-07-02T00:00:00.000,Marcel Schönbächler,CVP,Peter Küng,SP,Abgeschlossen,Ablehnung,Ablehnung
Ausbau des Angebots an öffentlichen Elektrogrills,Postulat,16bf0d4c430843858bafd218b0e16647,2014-07-09T00:00:00.000,Anjushka Früh,SP,Michael Kraft,SP,Abgeschlossen,Ablehnung,Ablehnung
"Zentrumslasten der Stadt, Hintergründe zur finanziellen und strukturellen Benachteiligung sowie Möglichkeiten zur besseren Einflussnahme auf kantonaler und nationaler Ebene",Interpellation,594c6b72ec82473a9dc2fa851258a524,2014-07-09T00:00:00.000,Christine Seidler,SP,Linda Bär,SP,Abgeschlossen,,
Verlegung der Haltestelle der Buslinien 61 und 62 beim Bahnhof Affoltern auf die nördliche Seite der Gleise,Postulat,27e131333f9d4a80902d745ca2ae77f4,2014-08-27T00:00:00.000,Hans Jörg Käppeli,SP,Andreas Kirstein,AL,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Gedenkanlass zum 70. Jahrestag des Kriegsendes,Postulat,d4c300f8ca2c40929b05a7836eb7e578,2014-08-27T00:00:00.000,Rebekka Wyler,SP,,,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
