Titel,Geschäftsart,ID,Datum,Erstunterzeichner,Partei Erstunterzeichner,Mitunterzeichner,Partei Mitunterzeichner,Geschäftsstatus,Entscheid,_entscheidbereinigt
Beiträge und Dienstleistungen für mittellose Hundehalter sowie Einhaltung der tierschützerischen Verpflichtungen,Schriftliche Anfrage,9300f1f882cd4ece9b634ac694c1a1e1,2014-01-08T00:00:00.000,Roland Scheck,SVP,Urs Fehr,SVP,Abgeschlossen,,
"Ausstellung «Dada x Statistik» im Cabaret Voltaire, Hintergründe zur Mietsituation in den Räumen der Dienstabteilung Statistik sowie zur Idee der gemeinsamen Ausstellung",Schriftliche Anfrage,0ec0dfeb654d4fed99acc19aef7b6373,2014-01-22T00:00:00.000,Daniel Regli,SVP,Thomas Schwendener,SVP,Abgeschlossen,,
"Asylunterkunft am Wydäckerring, Hintergründe zur Nutzung sowie zur Sanierung nach Ablauf der Zwischennutzung",Schriftliche Anfrage,921e1b3c08894f8cb108f8a7245dd787,2014-01-29T00:00:00.000,Margrit Haller,SVP,Roger Bartholdi,SVP,Abgeschlossen,,
"Brand in der Roten Fabrik im Jahr 2012, finanzielle Auswirkungen auf die Mietkosten und Einnahmen",Interpellation,56d2c264de5542ad9749e10dd0c3ceb0,2014-02-05T00:00:00.000,Daniel Regli,SVP,Thomas Schwendener,SVP,Abgeschlossen,,
"Exklusive Vergabe der Ticketrechte der Hallenstadion AG an Ticketcorner, Hintergründe zum Kooperationsvertrag",Schriftliche Anfrage,7ca5289be14b47a89af6e425faafbb91,2014-02-26T00:00:00.000,Roland Scheck,SVP,Roger Liebi,SVP,Abgeschlossen,,
"Kleinkinderbetreuungsbeiträge (KKBB), Richtlinien für deren Ausrichtung und finanzielle Belastung für die Stadt",Schriftliche Anfrage,d7fbf886aeef462fb30b36977cad37df,2014-03-05T00:00:00.000,Roland Scheck,SVP,Mauro Tuena,SVP,Abgeschlossen,,
"Geschwindigkeitsbeschränkungen auf der Dreiwiesenstrasse und der Birmensdorferstrasse, Angaben über Unfallzahlen und Unfallursachen",Schriftliche Anfrage,936c58409cb44502b05d65726d618fe9,2014-03-19T00:00:00.000,Roland Scheck,SVP,Kurt Hüssy,SVP,Abgeschlossen,,
"Illegal besetzte Liegenschaften, Hintergründe zur Abmeldung von Wasser und Strom",Schriftliche Anfrage,69200f3d510c44d89ff1a6a513d8c2da,2014-04-16T00:00:00.000,Urs Fehr,SVP,Mauro Tuena,SVP,Abgeschlossen,,
"Parkplätze bei der Kirche Unterdorf in Zürich-Affoltern, Umwandlung in bezahlte Parkplätze mit günstigen Tarifen",Postulat,2c561e715fd64a409a47bf58ef09214d,2014-06-04T00:00:00.000,Daniel Regli,SVP,Roberto Bertozzi,SVP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Schulhaus Buhnrain, Hintergründe zu den Konflikten und zur Personalfluktuation",Schriftliche Anfrage,869c9e661b4f4327aa5454f66a31c164,2014-06-04T00:00:00.000,Daniel Regli,SVP,Martin Götzl,SVP,Abgeschlossen,,
